,FISCAL_YR,FISCAL_MTH,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESC,TRANS_DT,AMT
606,2017,2,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,PHILLY AIR AUBONPAIN 2,FAST FOOD RESTAURANTS,2016-08-20,4.36
607,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #00238,FAST FOOD RESTAURANTS,2016-08-21,7.51
609,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT HTLS HR ATLANTA POS,LODGING,2016-08-21,24.55
610,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT HTLS HR ATLANTA POS,LODGING,2016-08-21,32.0
611,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SALADWORKS DOVER,EATING PLACES RESTAURANTS,2016-08-21,239.3
613,2017,2,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,NATIONAL ASSOCIATION OF C,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2016-08-21,500.0
614,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BURGER KING E 12202008,FAST FOOD RESTAURANTS,2016-08-22,3.78
615,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT HTLS HR ATLANTA POS,LODGING,2016-08-22,25.6
616,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,RPS SALISBURY,AUTOMOBILE PARKING LOTS AND GARAGES,2016-08-22,40.0
617,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SQ *US TAXI CAB,TRAVEL,2016-08-22,34.0
618,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,THE PARADIES SHOPS LLC,NEWS DEALERS AND NEWSSTANDS,2016-08-22,7.8
619,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WB MASON,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-08-22,254.9
620,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT HOTELS ATLANTA,LODGING,2016-08-23,617.12
621,2017,2,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,SHOPRITE MULLICAHLL S1,GROCERY STORES SUPERMARKETS,2016-08-24,113.47
622,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DELTA AIR 0067439811566,AIRLINE,2016-08-25,190.6
623,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372370838826,AIRLINE,2016-08-25,25.0
624,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0377439811550,AIRLINE,2016-08-25,159.1
625,2017,2,DEPT OF EDUCATION,ADVISORY COUNCIL,COMCAST OF WILMINGTON,CABLE SATELLITE OTHER PAY TELEVISION RADIO SVCS,2016-08-26,112.9
626,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHARLIE GITTO'S DOWNTOWN,EATING PLACES RESTAURANTS,2016-08-26,15.57
627,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,GATEWAY EXPRESS TAXI,TRAVEL,2016-08-26,45.72
628,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,H AND H PUBLISHING CO INC,SCHOOLS EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2016-08-26,310.5
629,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PHILADELPHIA TAXI,TRAVEL,2016-08-26,15.14
630,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372370909432,AIRLINE,2016-08-26,25.0
631,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AIRBEV INC.,FAST FOOD RESTAURANTS,2016-08-27,15.0
632,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AIRBEV INC.,FAST FOOD RESTAURANTS,2016-08-27,15.88
633,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BONEFISH GRILL #8108,EATING PLACES RESTAURANTS,2016-08-27,34.0
634,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MANGO,EATING PLACES RESTAURANTS,2016-08-27,24.94
635,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MANGO,EATING PLACES RESTAURANTS,2016-08-27,25.94
636,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MCDONALD'S M7094 OF MD,FAST FOOD RESTAURANTS,2016-08-27,6.67
637,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123035286000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-08-27,267.06
638,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372371112117,AIRLINE,2016-08-27,25.0
639,2017,2,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,REDLEAF PRESS,BOOK STORES,2016-08-27,498.75
640,2017,2,DEPT OF EDUCATION,ADVISORY COUNCIL,DS WATERS STANDARD COFFEE,NONDURABLE GOODS NOT ELSEWHERE CLASSIFIED,2016-08-28,3.98
642,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PHILADELPHIA TAXI,TRAVEL,2016-08-28,20.77
643,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372371159281,AIRLINE,2016-08-28,25.0
644,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WB MASON,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-08-28,203.92
645,2017,2,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,SOME GUYS BAGELS,FAST FOOD RESTAURANTS,2016-08-28,66.25
646,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123189644000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-08-29,84.0
647,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372371292540,AIRLINE,2016-08-29,534.7
648,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,2016-08-29,6.49
651,2017,2,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123271454000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-08-30,238.24
652,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FRANKFURT BAKERY A,BAKERIES,2016-09-02,124.8
653,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MULTI-HEALTH SYSTEMS,DIRECT MARKETING-CATALOG MERCHANTS,2016-09-02,20.0
654,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MULTI-HEALTH SYSTEMS,DIRECT MARKETING-CATALOG MERCHANTS,2016-09-02,79.0
655,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,NATIONAL ACADEMY SCIENCES,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2016-09-02,18.18
658,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AIRPORT SHUTTLE,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2016-09-03,38.0
659,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,B AND G CLUBS - MAIN ACC,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,2016-09-03,150.0
660,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LOWES #00587*,HOME SUPPLY WAREHOUSE STORES,2016-09-03,218.0
661,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PSYCHOLOGICAL ASSESSMENT,MISCELLANEOUS PUBLISHING AND PRINTING,2016-09-03,36.8
662,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PSYCHOLOGICAL ASSESSMENT,MISCELLANEOUS PUBLISHING AND PRINTING,2016-09-03,460.0
663,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USPS 09176009035400373,POSTAL SERVICES-GOVERNMENT ONLY,2016-09-03,16.48
664,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,2016-09-03,148.08
665,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,AMAZON.COM,BOOK STORES,2016-09-03,86.9
666,2017,3,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,ACT*NAME,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2016-09-03,50.0
667,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMERICAN AI 0017491353070,AIRLINE,2016-09-04,379.7
668,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #02680,FAST FOOD RESTAURANTS,2016-09-04,257.4
669,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,GRAYBAR ELECTRIC COMPANY,ELECTRICAL PARTS AND EQUIPMENT,2016-09-04,57.68
670,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SCHOOL NUTRITION ASSOC,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2016-09-04,125.5
671,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,2016-09-04,38.92
672,2017,3,DEPT OF EDUCATION,ADVISORY COUNCIL,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,2016-09-05,195.21
674,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,EXPEDIA*184484128698,TRAVEL,2016-09-05,7.0
675,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,VTS AIRPORT INDENPENDE,TRAVEL,2016-09-05,39.6
676,2017,3,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,SHOPRITE CHRSTNLNDG S1,GROCERY STORES SUPERMARKETS,2016-09-05,151.51
677,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NEWORL,LODGING,2016-09-06,377.79
678,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123562012000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-06,419.73
679,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFE AT THE SQUARE,EATING PLACES RESTAURANTS,2016-09-07,15.12
680,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,NOLA RESTAURANT,EATING PLACES RESTAURANTS,2016-09-07,62.01
681,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,UPS*000021X956,FREIGHT CARRIER TRUCKING-LCL-LNG DIST MVG-STORAGE,2016-09-07,11.1
682,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NORL F/B,LODGING,2016-09-08,36.73
683,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NORL F/B,LODGING,2016-09-08,8.53
684,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,NASDCTEC,SCHOOLS EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2016-09-08,450.0
685,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PERKINS GARAGE CASHIER,AUTOMOBILE PARKING LOTS AND GARAGES,2016-09-08,2.0
686,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,ROMMEL'S ACE HOME CENTER,HARDWARE STORES,2016-09-08,30.6
687,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SOBOU RESTARUANT,EATING PLACES RESTAURANTS,2016-09-08,35.12
688,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372372336306,AIRLINE,2016-09-08,25.0
690,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,ASSOC SUPERV AND CURR,DIRECT MARKETING-CATALOG MERCHANTS,2016-09-08,99.36
691,2017,3,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,2016-09-08,18.15
693,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAROLINA BIOLOGIC SUPPLY,DENTAL-LAB-MED-OPHTHALMIC HOSP EQUIP SUPPLIES,2016-09-09,62.98
694,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DELTA AIR 0067492244708,AIRLINE,2016-09-09,512.2
695,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,EB *SEVENTH ANNUAL CON,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2016-09-09,25.0
698,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,JIMMY'S CAFE,EATING PLACES RESTAURANTS,2016-09-09,15.88
699,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NORL F/B,LODGING,2016-09-09,13.72
700,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NORL F/B,LODGING,2016-09-09,23.75
701,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,NOLA RESTAURANT,EATING PLACES RESTAURANTS,2016-09-09,42.8
703,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,REI*GREENWOODHEINEMANN,BOOK STORES,2016-09-09,199.0
705,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STARBUCKS #18830 NEW ORLE,FAST FOOD RESTAURANTS,2016-09-09,9.16
706,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SUBWAY 00165449,FAST FOOD RESTAURANTS,2016-09-09,6.59
707,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372372471818,AIRLINE,2016-09-09,343.2
708,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WB MASON,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-09,203.92
710,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,USPS 09176009035400373,POSTAL SERVICES-GOVERNMENT ONLY,2016-09-09,14.1
711,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,C SBARROS 12203105,EATING PLACES RESTAURANTS,2016-09-10,11.66
712,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,EB *SEVENTH ANNUAL CON,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2016-09-10,25.0
713,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FREDRICKS ON THE AVENUE,EATING PLACES RESTAURANTS,2016-09-10,10.59
714,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,NEW ORLEANS TRANSPORT,TRAVEL,2016-09-10,39.6
715,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SOUTHWES 5262445044452,AIRLINE,2016-09-10,371.2
716,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123715183000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-10,584.56
717,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STARBUCKS #18830 NEW ORLE,FAST FOOD RESTAURANTS,2016-09-10,13.72
718,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WM SUPERCENTER #1741,GROCERY STORES SUPERMARKETS,2016-09-10,9.85
719,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,USPS 09176009035400373,POSTAL SERVICES-GOVERNMENT ONLY,2016-09-10,6.49
721,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DNC TRAVEL - NEW O,FAST FOOD RESTAURANTS,2016-09-11,13.32
722,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LATIN AMERICAN COM CTR,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,2016-09-11,50.0
724,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MHE*MCGRAW-HILL ECOMM,BOOKS PERIODICALS AND NEWSPAPERS,2016-09-11,75.02
725,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PPA PHILADELPHIA AIRPORT,AUTOMOBILE PARKING LOTS AND GARAGES,2016-09-11,80.0
726,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123715183000002,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-11,10.14
727,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123836764000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-11,273.7
728,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372372749079,AIRLINE,2016-09-11,25.0
729,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,2016-09-11,13.4
730,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WAL-MART #1736,GROCERY STORES SUPERMARKETS,2016-09-11,5.91
731,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WB MASON,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-11,203.92
732,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WM SUPERCENTER #5039,GROCERY STORES SUPERMARKETS,2016-09-11,5.91
733,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,TAP PLASTICS INC.,NONDURABLE GOODS NOT ELSEWHERE CLASSIFIED,2016-09-11,380.2
734,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,TAP PLASTICS INC.,NONDURABLE GOODS NOT ELSEWHERE CLASSIFIED,2016-09-11,57.02
735,2017,3,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,NEW READERS PRESS,DIRECT MARKETING-CATALOG MERCHANTS,2016-09-11,595.8
736,2017,3,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,NEW READERS PRESS,DIRECT MARKETING-CATALOG MERCHANTS,2016-09-11,61.28
737,2017,3,DEPT OF EDUCATION,ADVISORY COUNCIL,VZWRLSS*APOCC VISB,TELECOM INCL PREPAID-RECURRING PHONE SVCS,2016-09-12,26.18
738,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NEWORL,LODGING,2016-09-12,14.72
739,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NEWORL,LODGING,2016-09-12,25.9
740,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NEWORL,LODGING,2016-09-12,251.88
741,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NEWORL,LODGING,2016-09-12,28.0
742,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 337V7JW NEWORL,LODGING,2016-09-12,57.66
743,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,VZWRLSS*IVR VB,TELECOM INCL PREPAID-RECURRING PHONE SVCS,2016-09-12,280.07
744,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,PAYPAL *NATIONALASS,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,2016-09-12,475.0
747,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123975720000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-13,312.0
748,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123975720000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-13,84.98
749,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7123975720000002,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-09-13,28.49
751,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BLUE IGUANA,EATING PLACES RESTAURANTS,2016-09-14,16.52
752,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BLUE IGUANA,EATING PLACES RESTAURANTS,2016-09-14,27.19
753,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33758 SLC,LODGING,2016-09-14,4.69
755,2017,3,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,MHE*MCGRAW-HILL ECOMM,BOOKS PERIODICALS AND NEWSPAPERS,2016-09-14,34.64
756,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,B AND B MUSIC,MUSIC STORES-INSTRUMENTS PIANOS SHEET MUSIC,2016-09-15,140.0
757,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFFE MOLISE,EATING PLACES RESTAURANTS,2016-09-15,39.73
758,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFFE MOLISE,EATING PLACES RESTAURANTS,2016-09-15,41.02
760,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHILIS 67 71000673,EATING PLACES RESTAURANTS,2016-09-15,12.43
761,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHILIS 67 71000673,EATING PLACES RESTAURANTS,2016-09-15,17.0
762,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHINA SPROUT,OTHER SERVICES NOT ELSEWHERE CLASSIFIED,2016-09-15,51.92
763,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33758 SLC,LODGING,2016-09-15,13.86
764,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33758 SLC,LODGING,2016-09-15,16.52
765,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SOUTHWES 5262446328076,AIRLINE,2016-09-15,197.1
766,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,UNITED 0162422186359,AIRLINE,2016-09-15,306.6
767,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,UNITED 0162924193634,AIRLINE,2016-09-15,59.0
768,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WWW.NEWEGG.COM,ELECTRONIC SALES,2016-09-15,499.99
769,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,DE SOCIETY OF HUMAN RESOU,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2016-09-15,275.0
770,2017,3,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,DE SOCIETY OF HUMAN RESOU,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2016-09-15,45.0
771,2017,3,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,AFRICAN AMERICAN PUBLI,BOOK STORES,2016-09-15,24.4
773,2017,3,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,AMAZON.COM,BOOK STORES,2016-09-15,197.34
774,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAJIO MEXICAN GRILL OF SY,FAST FOOD RESTAURANTS,2016-09-16,6.44
775,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAJIO MEXICAN GRILL OF SY,FAST FOOD RESTAURANTS,2016-09-16,8.55
776,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BASIN MARKET SINCLAIR,FUEL DISPENSER AUTOMATED,2016-09-16,56.63
777,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFFE GELATO,EATING PLACES RESTAURANTS,2016-09-16,229.0
778,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #01418,FAST FOOD RESTAURANTS,2016-09-16,6.47
779,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #01418,FAST FOOD RESTAURANTS,2016-09-16,9.92
780,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FRONTIER AI 4220616412908,AIRLINE,2016-09-16,3.0
781,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FRONTIER AI 4222180543682,AIRLINE,2016-09-16,212.1
782,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,GRAYBAR ELECTRIC COMPANY,ELECTRICAL PARTS AND EQUIPMENT,2016-09-16,116.64
784,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HMCO *BOOKS,DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW,2016-09-16,82.66
785,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33758 SLC,LODGING,2016-09-16,10.03
786,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33758 SLC,LODGING,2016-09-16,10.68
787,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,RED ROBIN NO 655,EATING PLACES RESTAURANTS,2016-09-16,16.73
788,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,RED ROBIN NO 655,EATING PLACES RESTAURANTS,2016-09-16,26.27
789,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,RESTAURANT STORE -WILM,COMMERCIAL EQUIPMENT NOT ELSEWHERE CLASSIFIED,2016-09-16,323.78
790,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,ROMMEL'S ACE HOME CENTER,HARDWARE STORES,2016-09-16,39.58
791,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,ROMMEL'S ACE HOME CENTER,HARDWARE STORES,2016-09-16,559.2
792,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SUNDANCE ZOOM,EATING PLACES RESTAURANTS,2016-09-16,34.42
793,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SUNDANCE ZOOM,EATING PLACES RESTAURANTS,2016-09-16,34.72
794,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,UNITED 0162422186359,AIRLINE,2016-09-16,-119.0
795,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,UNITED 0162422187371,AIRLINE,2016-09-16,-187.6
796,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372373293726,AIRLINE,2016-09-16,179.1
797,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372373362351,AIRLINE,2016-09-16,25.0
798,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372373401854,AIRLINE,2016-09-16,292.2
799,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOAR'S HEAD/SBC,EATING PLACES RESTAURANTS,2016-09-17,5.6
800,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOAR'S HEAD/SBC,EATING PLACES RESTAURANTS,2016-09-17,7.98
801,2017,3,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,COL PRKNG GOV CNTR Q07,AUTOMOBILE PARKING LOTS AND GARAGES,2016-09-17,8.5
